Aenia or Aenea	Aenia or Aenea, -ae (f.); of or belonging to Aenea, Aenean, Aeneaticus, -a, -um; inhabitants of Aenea, Aeneates, -um (m.); Aenianes, -um (m.); and Aenienses, -ium (m.)
Aenus	Aenus, -i, 1. (m.) river; 2. (f.) city
Aeolia	Aeolia, -ae (f.); of or belonging to Aeolia, Aeolian, Aeolicus, -a, -um, and Aeolius, -a, -um; the Aeolians, Aeoles, -um (m.), and Aeolii, -orum (m.); land of the Aeolians, Aeolis, -idos (f.)
Aeolus	Aeolus, -i (m.); son or descendant of AeoIus, Aeolides, -ae (m.); daughter or female descendant of Aeolus, Aeolis, -idis (f.)
Aepytus	Aepytus, -i (f.); Aepytian, of or belonging to Aepytus, Aepytius, -a, -um
Aequi	Aequi, -orum (m.); of or belonging to the Aequi, Aequian, Aequicus, -a, -um, and Aequiculus, -a, -um; an Aequian, Aequiculus, -i (m.)
Aesar	Aesar, -aris (m.); Aesarian, Aesareus, -a, -um
Aeschines	Aeschines, -is (m.)
Aeschylus	Aeschylus, -i (m.); of Aeschylus,
Aeschylean	Aeschyleus, -a, -um
Aesculapius	Aesculapius, -ii (m.); Aesculapian, Aesculapius, -a, um; a temple of Aesculapius, Aesculapium, -ii (n.)
Aesepus	Aesepus, (m.); Aesepian, Aesepius, -a, -um
Aesernia	Aesernia, -ae (f.); Aesernian, of or belonging to Aesernia, Aeserninus, -a, -um
Aesis	Aesis, -is, 1. (m.) a river. — 2. (f.) a town; of or belonging to Aesis, Aesinas, -atis (adj.)
Aeson	Aeson, -onis (m.); of or belonging to Aeson, Aesonius, -a, -um; son of Aeson, Aesonides, -ae (m.)
Aesop	Aesopus, -i (m.); Aesopian, of or belonging to Aesop, Aesopeus, -a, -um, and Aesopicus, -a, -um
Aesula	Aesula, -ae (f.); Aesulan, Aesulanus, -a, -um
Aethalia	v. Elba
Aethiopia	v. Ethiopia
Aethon	Aethon, -onis (m.)
Aetna	Aetna, -ae, and Aetne, -es (f.); mountain and city; of or belonging to Aetna, Aetnean, Aetnaeus, -a, -um (of the mountain), and Aetnensis, -e (of the city)
Aetolia	Aetolia, -ae (f.); Aetolian, Aetolicus, -a, -um; Aetolius, -a, -um, and Aetolus, -a, -um; an Aetolian, Aetolus, -i (m.); an Aetolian female, Aetolis, -idis (f.)
Aetolus	Aetolus, -i (m.); son or descendant of Aetolus, Aetolides
Afranius	Afranius, -ii (m.); of or belonging to Afranius, Afranianus, -a, -um, and Afranius, -a, -um
Africa	Africa, -ae (f.); African, Afer, Afra, -um; Africanus, -a, -um, and Africus, -a, -um
Agamede	Agamede, -es (f.)
Agamedes	Agamedes, -is (m.)
Agamemnon	Agamemnon or -no, genitive -onis (m.); of or belonging to Agamemnon, Agamemnonius, -a, -um : son or descendant of Agamemnon, Agamemnonides, -ae (m.)
Aganippe	Aganippe, -es (f.); Aganippean, Aganippeus, -a, -um, and Aganippicus, -a, -um; also, feminine, adj. Aganippis, -idos
Agar	v. Hagar
Agatho	Agatho, -onis (m.)
Agathocles	Agathocles, -is (m.); of or belonging to Agathocles, Agalhoclean, Agathocleus, -a, -um
Agathyrna	v. St. Agatha
Agave	Agave, -es (f.)
Agbatana	v. Ecbatana
Agde	Agatha, -ae (f.)
Agen	Aginnum. -i (n.)
Agendicum	Agendicum, -i (n.)
Agenor	Agenor, -oris (m.); of or belonging to Agenor, Agenoreus, -a, -um; son or descendant of Agenor, Agenorides, -ae (m.)
Agesilaus	Agesilaus, -i (m.)
Agesipolis	Agesipolis, -is (m.)
Agincourt	Agincurtium, -ii (n.)
Agis	Agis, -idis, acc. Agin, Cicero, and Agim, Curtius (m.)
Aglaia	Aglaia, -ae, and -aie, -es (f.)
Aglaophon	Aglaophon, -ontis (m.)
Aglauros	Aglauros, -i (f.)
Agues	Agues, -etis (f.)
Agnon	Agnon. -onis (m.)
Agnonides	Agnonides, -ae (m.)
Agrigentum	Agrigentum, -i (n.), Greek acragas, -antis (m.); of Agrigentum, Agrigenline, Agrigentinus, -a, -um, and Acra- or Agragantinus, -a, -um
Agrippa	Agrippa, -ae (m.); of or belonging to Agrippa, Agrippianus, -a, -um, and Agrippinus, -a, -um
Agrippina	Agrippina, -ae (f.); of or belonging to Agrippina, Agrippinensis, -e, and Agrippinianus, -a, -um
Agron	Agron, -onis (m.)
Agylla	Agylla, -ae (f.); of or belonging to Agylla, Agyllinus, -a, -um
Agyrium	Agyrium, -ii (n.); of or belonging to Agyrium, Agyrian, Agyrinensis, -e, and Agyrinus, -a, -um
Ahab	Achabus, -i (m.)
Ahasuerus	Ahasuerus, -i (m.)
Aia	Allia, -ae (f.)
Aix	Aquae Sextiae (pl.,f.)
Aix-la-Chapelle	Aquisgranum, -i (n.)
Ajaccio	Urcinium, -ii (n.)
Ajax	Ajax, -acis (m.); tomb of Ajax, Aeantium, -ii (n.)
Akhissar	Thyatira, -ae (f.)
Alabanda	Alabanda, -ae (f.), and Alabanda, -orum (m.); of or belonging to Alabanda, Alabandensis, -e; Alabandenus, -a, -um; Alabandicus, -a, -um; and Alabandinus, -a, -um; an inhabitant of Alabanda, Alabandeus, -ei (m.); the inhabitants of Alabanda, Alabandes, -ium (m.), and Alabandi, -orum
Alans	Alani, -orum (m.); Alanian, Alanus, -a, -um
Alaric	Alaricua, -i (m.)
Alastor	Alastor, -oris (m.)
Alatri	Aletrium, -ii (n.); of or belonging to Alatri, Aletrinas, -atis (adj.)
Alazon, Alsasan	Alazon, -onis (m.)
Alba	Alba, -ae (f.); Alban, Albanus, -a, -um, and Albensis, -e; the Albans, Albani, -orum (m.)
Albania	Albania, -ae (f.); Albanian, Albanus, -a, -um
Albany	Albania, -ae (f.); Villa Albana; Albanian, Albanus, -a, -um
Albengo	Albium Ingaunum, -i (n.)
Albinius	Albinius, -ii (m.); of or belonging to Albinius, Albinianus, -a, -um
Albinus	Albinus, -i, (m.)
Albion	Albion, -onis, 1. (f.) as country. — 2. (m.) as masc, prop. n
Albis	Albis, -is (m.)
Albium	Albium, -ii (m.), v. Albengo and Vintimiglia
Albius	Albius, -ii (m.); of or belonging to Albius or the Albia gens, Alhius, -a, -um, and Albianus, -a, -um
Albucius	Albucius, -ii (m.); Albucian, Albucius, -a, -um
Alcaeus	Alcaeua, -i (m.); of or belonging to Alcaeus, Alcaic, Alcaicus, -a, -um; son or descendant of Alcaeus, Alcides, -ae (voc. -de and -da)
Alcala	Complutum, -i (n.)
Alcamenes	Alcamenes, -is (m.)
Alcander	Alcander, -dri (m.)
Alcanor	Alcanor, -oris (m.)
Alcathoe	Alcathoe, -es (f.)
Alcathous	Alcathous, -i (m.)
Alce	Alce, -es (f.)
Alcenor	Alcenor, -oris (m.)
Alcestis	Alcestis, -is (f.)
Alcibiades	Alcibiades, -is (voc. -de)
Alcidamas	Alcidamas, -anuis (m.)
Alcides	v. Alcaeus
Alcimachus	Alcimachus, -i (m.)
Alcimede	Alcimede, -es (f.)
Alcimedon	Alcimedon, -ontis (m.)
Alcimus	Alcimus, -i (m.)
Alcinoüs	Alcinoüs, -i (m.)
Aicis	Alcis, -idis (f.)
Alcmaeon	Alcmaeo, -onis (m.); of or belonging to Alcmaeon, Alcmaeonis, -a, -um
Alcman	Alcman, -anis (acc. also -ana); of or belonging to Alcman, Alcmanicus, -a, -um, and Alcmanius, -a, -um
Alcmena	Alcmena, -ae, or Alcmene,-es (f.)
Alcon	Alco. -onis (m.)
Alcyone	Alcyone, -es (f.); Alcyonean, Alcyoneus, -a, -um
Aldborough	Isurium, -ii (n.)
Alderney	Riduna, -ae (f.)
Alecto	Alecto or Allecto, -us (f.)
Aleïan	Aleius, -a, -um; the Aleian plain, Aleius campus
Alemanni	Alemanni, -orum (m.): of or belonging to the Alemanni, Alemannic, Alemannicus, -a, -um
Alemon	Alemon, -onis (m.); son or descendant of Alemon Alemonides, -as (m.)
Aleppo	Beroea, -ae (f.)
Aleria	Aleria, -ae (f.), and Alalia, -ae (f.)
Aletes	Aletes, -ae (m.)
Aletium	Aletium, -ii (n.); Aletian, of or belonging to Aletium, Aletinus, -a, -um
Alexander	Alexander, -dri (m.)
Alexandria	Alexandrea, -ae (f.); of or belonging to Alexandria, Alexandrine, Alexandrinus, -a, -um
Alexandropolis	Alexandropolis, -is (f.)
Alexio	Alexio, -onis (m.)
Alfenus	Alfenus, -i (m.)
Alfred	Alfredus, -i; purer Latin, Irenseus, -i (m.)
Algidus	Algidus, -i (m.); of or belonging to Algidus, Algidensis, -e, and Algidus, -a, -um
Algier	Algeria, -as (f.); Julia Caesarea (f.)
Alicante	Lucentum, -i (n.)
Alimentus	Alimentus, -i (m.)
Alinda	Alinda, -ae (f.); of or belonging to Alinda, Alindensia, -e
Alise	Aleaia, -ae (f.)
Allia	Aliia, -as (f.); of or belonging to the Allia, Alliensis, -e
Alice	Alicia, -ae (f.)
Allienus	Allienus, -i (m.)
Allier	Elaver, -eris (m.)
Allifae	Allifae, -arum (pl, f.); of or belonging to Allifae, Allifanion, Allifanus, -a, -um
Allobrogian	an, Allobrox, -ogis (m.); the Allobrogians, Allobroges, -um; Allobrogian, Allobrogicus, -a, -um
Almaden	Sisapon, -onis (f.)
Almo	Almo, -onis (m.), 1. a river. — 2. a man’s name: Almon, -onis (f.), a city
Alnwick	Alnevicum, -i (m.)
Aloeus	Aloeus, -ei (m.); son or descendant of Aloeus, Aloides, -ae (m.)
Alone	Alone, -es (f.)
Aloniio	v. Aluntium
Alope	Alope, -es (f.)
Alurus	Alorua, -i (f.); the inhabitants of Alorus, Aloritae, -arum (m.)
Alphenor	Alphenor, -oris (m.)
Alpheus	Alpheus, -i (m.); of or belonging to the Alpheus, Alpheus, -a, -um; as pecul. feminine, adj., Alpheias, -adia (p.)
Alps	Alpes, -ium (f.); of or belonging to the Alps, Alpine, Alpinus, -a, -um, and Alpicus, -a, -um
Alsace	Alsatia, -ae (f.)
Alsium	Alsium, -ii (n.); of or belonging to Alsium, Alsiensis, -e, and Alsius, -a, -um
Allinum (mod. Altino)	Altinum, -i (m.); of or belonging to Altinum, Altinas, gen. -atis, and Altinus, -a, -um
Aluntium (now Alontio)	Aluntium, -ii (n.); of or belonging to Aluntium, Aluntinus, -a, -um
Alyattes	Alyattea, -ia or -ei (m.)
Alymon	Alymon, -onis (m.)
Alyzia	Alyzia or -zea, -ae (f.)
Amalec	Amalechus, -i (m.)
Amalekites	Amalechitae, -arum (m.)
Amalfi	Melphia, -ae (f.)
Amalthea	Amalthea, -ae (f.); temple of Amalthea, Amaltheum, -i (m.)
Amanda	Amanda, -ae (f.)
Amanus	Amanus, -i (m.); of or belonging to Amanus, Amaniensis, -e, and Amanicus, -a, -um; the passes of Amanus, Amanicae pylae
Amaryllis	Amaryllis, -idis (f.), acc. -ida, voc -i
Amarynthns	Amarynthus, -i; Amarynthian, Amarynthis, -idis (feminine, adj.)
Amaseno	Amasenus, -i (m.)
Amasia	Amasia, -ae (f.), a city; (m.) masculine, prop, name
Amasis	Amasis, -is (m.)
Amastris (now Amastro), Amastris, -is (f.)	of or belonging to Amastris, Amastriacus, -a, -um; inhabitants of Amastris, Amastriani, -orum (m.)
Amathus	Amathus, -untis (f.), acc. poet. -unta; of or belonging to Amathus, Amathusian, Amathusius, -a, -um, and Amathusiacus, -a, -um
Ambiani	Ambiani, -orum (m.)
Amhiorix	Ambiorix, -igis (m.)
Ambivius	Ambivius, -ii (m.)
Ambracia	Ambracia, -ae (f.); Ambracian, Ambraciua, a, -um; Ambraciensis, -e, Ambracian Gulf (now Gulf of Arta), Ambraciua sinus; an inhabitant of Ambracia, Ainbraciota or -tes, gen. -ae (m.); feminine, adj. Ambracias, adis
Ambrones	Ambrdnes, -um (m.)
Ambrose	Ambrosius, -ii (m.); of or belonging to Ambrose, Ambrosian, Ambrosianus, -a, -um
Amelia	Amelia, -ae (f.). Vid., also, Ameria
